"Time","Schultz Method","Parris Method"
2025-11-05 10:28:00,,43.0
2025-11-05 10:30:00,,777
2025-11-05 10:32:00,,1493
2025-11-05 10:34:00,,1491
2025-11-05 10:36:00,,1467
2025-11-05 10:38:00,,1485
2025-11-05 10:40:00,,1515
2025-11-05 10:42:00,,1511
2025-11-05 10:44:00,,1239
2025-11-05 10:46:00,,1219
2025-11-05 10:48:00,,1402
2025-11-05 10:50:00,,1368
2025-11-05 10:52:00,,1309
2025-11-05 10:54:00,,1319
2025-11-05 10:56:00,,1354
2025-11-05 10:58:00,,1155
2025-11-05 11:00:00,,1196
2025-11-05 11:02:00,,1197
2025-11-05 11:04:00,,1318
2025-11-05 11:06:00,,1356
2025-11-05 11:08:00,,1390
2025-11-05 11:10:00,,1352
2025-11-05 11:12:00,,1367
2025-11-05 11:14:00,,1179
2025-11-05 11:16:00,,1210
2025-11-05 11:18:00,,1416
2025-11-05 11:20:00,,1411
2025-11-05 11:22:00,,1401
2025-11-05 11:24:00,,1406
2025-11-05 11:26:00,,1434
2025-11-05 11:28:00,,1436
2025-11-05 11:30:00,,1223
2025-11-05 11:32:00,,1187
2025-11-05 11:34:00,,1364
2025-11-05 11:36:00,,1364
2025-11-05 11:38:00,43.0,1356
2025-11-05 11:40:00,777,1363
2025-11-05 11:42:00,1493,1360
2025-11-05 11:44:00,1491,1154
2025-11-05 11:46:00,1467,1136
2025-11-05 11:48:00,1485,1153
2025-11-05 11:50:00,1515,1349
2025-11-05 11:52:00,1511,1338
2025-11-05 11:54:00,1239,1333
2025-11-05 11:56:00,1219,1293
2025-11-05 11:58:00,1402,1331
2025-11-05 12:00:00,1368,1202
2025-11-05 12:02:00,1309,1158
2025-11-05 12:04:00,1319,1331
2025-11-05 12:06:00,1354,1356
2025-11-05 12:08:00,1155,1371
2025-11-05 12:10:00,1196,1355
2025-11-05 12:12:00,1197,639
2025-11-05 12:14:00,1318,0
2025-11-05 12:16:00,1356,0
2025-11-05 12:18:00,1390,0
2025-11-05 12:20:00,1352,0
2025-11-05 12:22:00,1367,0
2025-11-05 12:24:00,1179,0
2025-11-05 12:26:00,1210,0
2025-11-05 12:28:00,1416,0
2025-11-05 12:30:00,1411,0
2025-11-05 12:32:00,1401,0
2025-11-05 12:34:00,1406,0
2025-11-05 12:36:00,1434,0
2025-11-05 12:38:00,1436,0
2025-11-05 12:40:00,1223,0
2025-11-05 12:42:00,1187,0
2025-11-05 12:44:00,1364,230
2025-11-05 12:46:00,1364,773
2025-11-05 12:48:00,1356,1202
2025-11-05 12:50:00,1363,1300
2025-11-05 12:52:00,1360,1307
2025-11-05 12:54:00,1154,1274
2025-11-05 12:56:00,1136,1243
2025-11-05 12:58:00,1153,1246
2025-11-05 13:00:00,1349,1063
